"C:\Program Files (x86)\Steam\steamapps\common\SourceFilmmaker\game\sfm.exe" +sv_lan 1 -sfm_resolution 1080 -w 1920 -h 1080 -useqtport -tools -dev -sw +mat_hdr_level 3 +mat_queue_mode 0 -game usermod -insecure

c:\program files (x86)\steam\steamapps\common\sourcefilmmaker\game\usermod\elements\sessions\cpz\dlc\dlc office.dmx#0

1920x1080 @24.00 fps
motion blur samples:    128
depth of field samples: 256

Frame  	Frame  	Total  	Shot                   	Map                    	DoF    	MBlur  	Total
Number 	Time   	Time   	Name                   	Name                   	Count  	Count  	Count
      0	  0.000	      0	shot1                 	black_void.bsp        	  256	  128	  256
      1	  9.371	      9	shot1                 	black_void.bsp        	  256	  128	  256
      2	 11.193	     21	shot1                 	black_void.bsp        	  256	  128	  256
      3	 10.244	     31	shot1                 	black_void.bsp        	  256	  128	  256
      4	  9.699	     41	shot1                 	black_void.bsp        	  256	  128	  256
      5	 10.084	     51	shot1                 	black_void.bsp        	  256	  128	  256
      6	  9.838	     60	shot1                 	black_void.bsp        	  256	  128	  256
      7	  9.881	     70	shot1                 	black_void.bsp        	  256	  128	  256
      8	 11.279	     82	shot1                 	black_void.bsp        	  256	  128	  256
      9	 11.191	     93	shot1                 	black_void.bsp        	  256	  128	  256
     10	 10.340	    103	shot1                 	black_void.bsp        	  256	  128	  256
     11	  9.832	    113	shot1                 	black_void.bsp        	  256	  128	  256
     12	 10.109	    123	shot1                 	black_void.bsp        	  256	  128	  256
     13	  9.637	    133	shot1                 	black_void.bsp        	  256	  128	  256
     14	 10.002	    143	shot1                 	black_void.bsp        	  256	  128	  256
     15	  9.609	    152	shot1                 	black_void.bsp        	  256	  128	  256
     16	  9.709	    162	shot1                 	black_void.bsp        	  256	  128	  256
     17	  9.770	    172	shot1                 	black_void.bsp        	  256	  128	  256
     18	 10.383	    182	shot1                 	black_void.bsp        	  256	  128	  256
     19	 10.252	    192	shot1                 	black_void.bsp        	  256	  128	  256
     20	  9.480	    202	shot1                 	black_void.bsp        	  256	  128	  256
     21	 10.383	    212	shot1                 	black_void.bsp        	  256	  128	  256
     22	 11.369	    224	shot1                 	black_void.bsp        	  256	  128	  256
     23	  9.875	    234	shot1                 	black_void.bsp        	  256	  128	  256
     24	  9.938	    243	shot1                 	black_void.bsp        	  256	  128	  256
     25	  9.893	    253	shot1                 	black_void.bsp        	  256	  128	  256
     26	  9.857	    263	shot1                 	black_void.bsp        	  256	  128	  256
     27	  9.891	    273	shot1                 	black_void.bsp        	  256	  128	  256
     28	  9.658	    283	shot1                 	black_void.bsp        	  256	  128	  256
     29	  9.842	    293	shot1                 	black_void.bsp        	  256	  128	  256
     30	  9.504	    302	shot1                 	black_void.bsp        	  256	  128	  256
     31	  9.979	    312	shot1                 	black_void.bsp        	  256	  128	  256
     32	  9.631	    322	shot1                 	black_void.bsp        	  256	  128	  256
     33	 10.402	    332	shot1                 	black_void.bsp        	  256	  128	  256
     34	  9.846	    342	shot1                 	black_void.bsp        	  256	  128	  256
     35	  9.750	    352	shot1                 	black_void.bsp        	  256	  128	  256
     36	  9.877	    362	shot1                 	black_void.bsp        	  256	  128	  256
     37	  9.982	    372	shot1                 	black_void.bsp        	  256	  128	  256
     38	  9.859	    381	shot1                 	black_void.bsp        	  256	  128	  256
